"Latitude";"Longitude";"Desc_Basica";"Desc_Complemento";"Distrito";"Data_ano";"Data_mes";"Data_hora";"Horas_p_Fechamento"
NA;NA;"Law Enforcement";"Suspicious Package";"Manhattan";2016;"11";"00";0.5
40.7140036409564;-73.8299893315416;"Fire";"1st Alarm";"Queens";2016;"11";"13";188.82
40.8820772825417;-73.8580316111691;"Fire";"2nd Alarm";"Bronx";2016;"11";"15";3.48
40.8239241422864;-73.8918250966501;"Fire";"3rd Alarm";"Bronx";2016;"11";"20";38.1
40.7144215406227;-74.0060763804198;"Structural";"Sidewalk Shed";"Manhattan";2016;"11";"09";1.47
40.6728415324119;-73.923347420746;"Fire";"2nd Alarm";"Brooklyn";2016;"11";"18";2.01
40.7140036409564;-73.8299893315416;"Fire";"2nd Alarm";"Queens";2016;"11";"05";NA
40.7140036409564;-73.8299893315416;"Fire";"1st Alarm";"Queens";2016;"11";"13";NA
NA;NA;"Structural";"Crane";"Brooklyn";2016;"11";"13";NA
NA;NA;"Structural";"Crane";"Brooklyn";2016;"11";"13";NA
NA;NA;"Fire";"Haz Mat";"Bronx";2012;"02";"12";4.72
NA;NA;"Utility";"Water Main";"Brooklyn";2012;"04";"09";9.37
NA;NA;"Utility";"Power Outage";"Brooklyn";2012;"05";"16";4.64
NA;NA;"Utility";"Power Outage";"Brooklyn";2012;"06";"19";15.83
40.5260931808567;-74.1802975096215;"Utility";"Other";"Staten Island";2016;"11";"06";NA
40.8833331315486;-73.8367774401205;"Structural";"Roadway Depression";"Bronx";2012;"08";"20";NA
40.6434051147554;-73.9924852509927;"Structural";"Other";"Brooklyn";2016;"11";"22";NA
NA;NA;"Structural";"Construction Accident";"Manhattan";2013;"02";"10";0.65
40.6482435199137;-73.7882418550958;"LawEnforcement";"Suspicious Package";"Queens";2013;"04";"16";0.92
NA;NA;"Marine";"Commuter";"Manhattan";2013;"05";"12";0.7
40.6602211159129;-73.9945785003966;"Utility";"Other";"Brooklyn";2016;"12";"15";NA
40.7144215406227;-74.0060763804198;"Utility";"Water Service Line";"Manhattan";2016;"12";"12";NA
40.7140036409564;-73.8299893315416;"Fire";"2nd Alarm";"Queens";2016;"12";"04";NA
40.7098113135605;-73.9918373978119;"Marine";"Overturned Boat";"Manhattan";2013;"06";"08";NA
NA;NA;"Utility";"Internal Steam Shutdown";"Bronx";2013;"12";"10";6.87
NA;NA;"Fire";"6th Alarm";"Manhattan";2016;"10";"03";NA
NA;NA;"Fire";"6th Alarm";"Manhattan";2016;"10";"03";NA
NA;NA;"Law Enforcement";"Other";"Brooklyn";2016;"10";"17";NA
NA;NA;"Administration";"Other";"Brooklyn";2016;"10";"20";NA
40.7803567512002;-73.9656327909966;"Fire";"6th Alarm";"Manhattan";2016;"10";"01";NA
NA;NA;"Structural";"Sidewalk Collapse";"Manhattan";2016;"10";"12";NA
NA;NA;"HazMat";"Liquid";"Brooklyn";2016;"10";"16";NA
NA;NA;"Fire";"6th Alarm";"Manhattan";2016;"10";"03";NA
40.7144215406227;-74.0060763804198;"Fire";"6th Alarm";"Manhattan";2016;"10";"03";NA
40.7803567512002;-73.9656327909966;"Fire";"6th Alarm";"Manhattan";2016;"10";"01";227.29
NA;NA;"Utility";"Gas High Pressure";"Brooklyn";2016;"11";"14";NA
NA;NA;"Utility";"Phone Outage";"Brooklyn";2016;"11";"03";NA
NA;NA;"Structural";"Sidewalk Collapse";"Manhattan";2016;"10";"12";NA
NA;NA;"Fire";"3rd Alarm";"Brooklyn";2016;"11";"20";NA
NA;NA;"Transportation";"Train Elevated";"Brooklyn";2016;"10";"06";NA
NA;NA;"Structural";"Sidewalk Collapse";"Manhattan";2016;"10";"12";NA
